CreationDate|ExpirationDate|ClientNumber|ActivationDate|VoucherCode
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
11/29/2018 11:10:42 +01:00|11/30/2018 10:10:17 +00:00|null|null|null
